Arabic_Saudi_Sentence,English_Terms,Word_Frequency
المشروع له deadline صعب لازم نلتزم فيه، حتى لو اضطرينا نشتغل ساعات إضافية.,deadline,deadline(1)
المدرب زاد لي عدد sit ups هالأسبوع، وحسيت بتحدي واضح من أول حصة.,sit ups,"sit(3), ups(3)"
كل سبت نروح نلعب tennis مع نفس الشلة، وصارت عادة ما نقدر نفوتها.,tennis,tennis(1)
المدرب علمنا حركات جديدة في swimming اليوم، وحسيت إني تحسنت كثير عن الحصة اللي فاتت.,swimming,swimming(1)
لعبت CrossFit الصبح و badminton بعد الظهر، يوم رياضي كامل خلاني أنام بدري من التعب.,"CrossFit, badminton","CrossFit(2), badminton(2)"
بعد الإحماء بديت sit ups على وزن خفيف، عشان أتأكد من الحركة قبل ما أزيد الوزن.,sit ups,"sit(4), ups(4)"
رحنا مطعم جديد بالحي وجربنا BBQ ribs لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,BBQ ribs,"BBQ(1), ribs(1)"
خلصت KPI قبل ما أبدأ workshop المهم، وحسيت إني أنجزت يوم كامل بمعنى الكلمة.,"KPI, workshop","KPI(2), workshop(3)"
وقفت السيارة عند T1 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,T1,T1(3)
زميلي شرح لي معنى Oscar في عالم الأفلام، وصرت أفهم كثير أشياء ما كنت أعرفها.,Oscar,Oscar(1)
أهدوني ساعة Rolex في تخرجي وكانت هدية فخمة، ولين الحين أحافظ عليها مثل الذهب.,Rolex,Rolex(1)
طلبت قهوة من Hanco وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,Hanco,Hanco(1)
زملائي حجزوا طاولة في مطعم داخل Panorama للعشاء، وقعدنا نتكلم عن الشغل لين وقت متأخر.,Panorama,Panorama(3)
بعد الدوام رحت Hanco آخذ شي حلو قبل لا أرجع البيت، عشان أكافئ نفسي على يوم طويل.,Hanco,Hanco(2)
شفت مدربي يسوي plank بطريقة مختلفة عني تمامًا، فسألته يصححلي وضعيتي.,plank,plank(2)
زميلي قالي نتقابل عند A7 الساعة عشرة بالضبط، عشان نروح سوا للاجتماع الكبير.,A7,A7(2)
خلصت cool down وقعدت أستريح خمس دقايق بس، لأن التمرين كان مكثف أكثر من المعتاد.,cool down,"cool(1), down(1)"
أختي رايحة U Walk كل نهاية أسبوع مع صديقاتها، صارت شبه روتين ثابت عندها.,U Walk,"U(3), Walk(3)"
لعبت hiking الصبح و volleyball بعد الظهر، يوم رياضي كامل خلاني أنام بدري من التعب.,"hiking, volleyball","hiking(2), volleyball(2)"
المكتب الجديد تبعي صار في T7 بدل المبنى القديم، والانتقال كان أسهل مما توقعت.,T7,T7(2)
بعد الإحماء بديت lunges على وزن خفيف، عشان أتأكد من الحركة قبل ما أزيد الوزن.,lunges,lunges(1)
بدأت أتمرن running عشان أرفع لياقتي البدنية، ولاحظت فرق واضح بعد شهر بس.,running,running(2)
دخلت من A5 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,A5,A5(4)
خلصت project قبل ما أبدأ resume المهم، وحسيت إني أنجزت يوم كامل بمعنى الكلمة.,"project, resume","project(3), resume(2)"
شفت تخفيضات كبيرة على Pull&Bear في التطبيق اليوم، وخلاص قررت أطلب قبل ما تخلص المقاسات.,Pull&Bear,Pull&Bear(2)
بين soundtrack و animation ما قدرت أقرر وش أسوي الليلة، فخليت صاحبي يختار عني.,"soundtrack, animation","soundtrack(2), animation(3)"
أجلنا الـ workshop لأن المدير كان مسافر هالأسبوع، وحددنا موعد جديد بعد رجوعه.,workshop,workshop(4)
احنا رحنا Solitaire عشان نتفرج على السينما الجديدة هناك، وطلعت التجربة أحسن من المتوقع.,Solitaire,Solitaire(1)
شفت تخفيضات كبيرة على شاشات Sony في التطبيق اليوم، وفكرت أبدل التلفزيون القديم.,Sony,Sony(1)
أختي ما تلبس إلا Bershka في كل مناسباتها، وتقول إن القصات تناسبها أكثر من أي ماركة ثانية.,Bershka,Bershka(1)
الـ teammate تبعي ساعدني أرجع للعب بعد الإصابة، وصبر علي لين رجعت لمستواي.,teammate,teammate(1)
لازم أوصل T7 قبل التاسعة عشان ألقى موقف فاضي، وإلا بدور نص ساعة أدور مكان.,T7,T7(3)
صاحبتي تشتغل في T6 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,T6,T6(3)
جربت waffle في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,waffle,waffle(1)
بدل warm up صرت أسوي rows عشان أنوع تمريني، ولاحظت فرق واضح بحماسي للجيم.,"warm up, rows","warm(2), up(2), rows(2)"
الشباب كلهم يحكون عن blockbuster هالأيام، وصار حديث كل تجمع نقعده.,blockbuster,blockbuster(1)
كان عندي networking وبعده على طول invoice ، يوم مرهق ما توقعت أخلصه بهالسرعة.,"networking, invoice","networking(1), invoice(1)"
في تخرجي طلبت bubble tea وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,bubble tea,"bubble(3), tea(3)"
احنا قعدنا نتفرج rom-com كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,rom-com,rom-com(1)
الفطور كان فيه bagel والعشاء iced coffee ، يوم أكل كامل ما نسيته بسهولة.,"bagel, iced coffee","bagel(2), iced(2), coffee(2)"
حضرت presentation مع فريق التسويق وطلعت بأفكار زينة، بنشتغل عليها الأسبوع الجاي.,presentation,presentation(2)
أختي انضمت لنادي karate قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,karate,karate(2)
شفت تخفيضات كبيرة على Adidas في التطبيق اليوم، فقررت أشتري قبل ما ينتهي العرض.,Adidas,Adidas(2)
تمرنت على cable machine نص ساعة كاملة، وحسيت بتحسن واضح في تحملي.,cable machine,"cable(2), machine(2)"
قعدت أشتغل في A2 طول الصبح لين وقت الغدا، وما لحقت أطلع أستراحة إلا مرة وحدة.,A2,A2(3)
شفت صورة pizza على السوشيال ميديا واشتهيته على طول، فطلبته بنفس الليلة.,pizza,pizza(1)
قارنا بين محلات Solitaire و Hub قبل ما نقرر وين نشتري، وأخيرًا اخترنا الأقرب لنا.,"Solitaire, Hub","Solitaire(2), Hub(2)"
المدير طلب نجتمع في كافيه داخل The Zone بدل المكتب عشان يغير جو الاجتماع شوي.,The Zone,"The(2), Zone(2)"
زميلي قالي نتقابل عند A8 الساعة عشرة بالضبط، عشان نروح سوا للاجتماع الكبير.,A8,A8(1)
بعد الدوام رحت Chok آخذ شي حلو قبل لا أرجع البيت، عشان أكافئ نفسي على يوم طويل.,Chok,Chok(1)
قابلت صاحباتي في Granada وقعدنا نتسوق لين الليل، وكانت جلسة حلوة بعد فترة ما شفناهم.,Granada,Granada(1)
أول مرة أزور Localizer وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,Localizer,Localizer(3)
بعد سنة كاملة حصلت على promotion في الشغل، وحسيت إن التعب أخيرًا طلع نتيجة.,promotion,promotion(1)
شفت تخفيضات كبيرة على Skechers في التطبيق اليوم، فقررت أشتري قبل ما ينتهي العرض.,Skechers,Skechers(2)
قابلت صاحباتي في Centria وقعدنا نتسوق لين الليل، وكانت جلسة حلوة بعد فترة ما شفناهم.,Centria,Centria(5)
احنا قعدنا نتفرج Marvel كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,Marvel,Marvel(3)
احنا قعدنا نتفرج prequel كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,prequel,prequel(4)
قعدت الليلة أتفرج على series لين تعبت عيني، بس ما قدرت أوقف لأنه كان مشوق مرة.,series,series(3)
قدمت استقالتي وسريت في فترة notice period شهر كامل، عشان أسلم شغلي بشكل مرتب.,notice period,"notice(1), period(1)"
وقفت السيارة عند A8 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,A8,A8(2)
اشترينا ألعاب PlayStation للأطفال بمناسبة العيد، وقعدوا يلعبون فيها من الصبح لين الليل.,PlayStation,PlayStation(2)
شفت زميلتي عند Sudra Tea وسلمت عليها بسرعة وأنا رايح، لأنه ما كان عندي وقت أقعد أسولف.,Sudra Tea,"Sudra(2), Tea(2)"
زميلي مكتبه في Costa وأنا في Tim Hortons ، فنتقابل بس وقت الغدا لأن المسافة بينا بعيدة شوي.,"Costa, Tim Hortons","Costa(3), Tim(3), Hortons(3)"
احنا سوينا استراحة قصيرة وطلعنا نتغدى في Sudra Tea ، وقعدنا نضحك على مواقف الأسبوع.,Sudra Tea,"Sudra(3), Tea(3)"
أجلنا الـ presentation لأن المدير كان مسافر هالأسبوع، وحددنا موعد جديد بعد رجوعه.,presentation,presentation(3)
أختي انضمت لنادي marathon قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,marathon,marathon(2)
في تخرجي طلبت hotdog وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,hotdog,hotdog(1)
أرسلت invoice للعميل وانتظرت رده طول اليوم، بس ما جاني رد إلا قبل الدوام.,invoice,invoice(2)
الفطور كان فيه hot chocolate والعشاء cupcake ، يوم أكل كامل ما نسيته بسهولة.,"hot chocolate, cupcake","hot(1), chocolate(2), cupcake(1)"
راجعت الـ budget قبل ما أرسله للمحاسبة، عشان أتأكد كل رقم مطابق للفواتير.,budget,budget(2)
شفت تخفيضات كبيرة على Zara في التطبيق اليوم، وخلاص قررت أطلب قبل ما تخلص المقاسات.,Zara,Zara(2)
اشتريت تيشيرتين من Pull&Bear بعد التخفيضات الأخيرة، وطلعوا أحسن مما توقعت بصراحة.,Pull&Bear,Pull&Bear(3)
ما توقعت إن blockbuster بيعجبني كذا لين جربته، والحين صار من المفضلة عندي.,blockbuster,blockbuster(2)
قعدت الليلة أتفرج على Disney+ لين تعبت عيني، بس ما قدرت أوقف لأنه كان مشوق مرة.,Disney+,Disney+(3)
المطعم الجديد يقدم iced coffee بطريقة مختلفة عن اللي نعرفه، وصراحة الفكرة عجبتني كثير.,iced coffee,"iced(3), coffee(3)"
المدرب زاد لي عدد pull downs هالأسبوع، وحسيت بتحدي واضح من أول حصة.,pull downs,"pull(2), downs(2)"
سمعت حلقة جديدة من Spotify وعجبتني الفكرة، فرجعت أسمع الحلقات القديمة كمان.,Spotify,Spotify(2)
شاركت في بطولة basketball وطلعت من الأدوار الأولى، بس استفدت خبرة تفيدني قدام.,basketball,basketball(1)
أخوي حضر steak بنفسه في البيت وقالي طلعت زينة رغم إنها أول مرة يجربها.,steak,steak(2)
قعدنا نناقش premiere بعد ما خلصناه مباشرة، وكل واحد فينا له رأي مختلف.,premiere,premiere(4)
نزلت آخذ قهوتي من Dunkin قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,Dunkin,Dunkin(4)
الشركة سمحت لنا بـ remote work يومين في الأسبوع، وصار توازن حياتي أحسن بكثير.,remote work,"remote(1), work(1)"
شاركت في تحدي cycling مع أصحابي هالشهر، وكنا نتنافس على مين يلتزم أكثر.,cycling,cycling(1)
خسرنا مباراة volleyball بس استمتعنا باللعب كثير، وقررنا نرجع نلعب بنفس الفريق.,volleyball,volleyball(3)
اشتريت تيشيرتين من Bershka بعد التخفيضات الأخيرة، وطلعوا أحسن مما توقعت بصراحة.,Bershka,Bershka(2)
المدير مو راضي عن الـ contract ولازم نعيده من جديد، رغم إني اشتغلت عليه ساعات طويلة.,contract,contract(2)
شفت عرض حلو في Boulevard World وقررت أرجع أشتريه بكرة قبل لا ينتهي العرض.,Boulevard World,"Boulevard(2), World(2)"
رحنا مطعم جديد بالحي وجربنا latte لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,latte,latte(3)
اشتريت تيشيرتين من H&M بعد التخفيضات الأخيرة، وطلعوا أحسن مما توقعت بصراحة.,H&M,H&M(1)
صاحبي رشح لي Marvel وقالي ما بتندم أبدًا، وفعلاً كان محق في كلامه.,Marvel,Marvel(4)
المدرب علمني أتمرن على treadmill بالشكل الصحيح، عشان ما أأذي ظهري أو ركبتي.,treadmill,treadmill(1)
خسرنا مباراة rugby بس استمتعنا باللعب كثير، وقررنا نرجع نلعب بنفس الفريق.,rugby,rugby(1)
المكتب الجديد تبعي صار في A4 بدل المبنى القديم، والانتقال كان أسهل مما توقعت.,A4,A4(1)
جربت tacos في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,tacos,tacos(2)
المكتب الجديد تبعي صار في A6 بدل المبنى القديم، والانتقال كان أسهل مما توقعت.,A6,A6(2)
صاحبي مهووس بمنتجات New Balance ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,New Balance,"New(1), Balance(1)"
قعدنا نناقش rom-com بعد ما خلصناه مباشرة، وكل واحد فينا له رأي مختلف.,rom-com,rom-com(2)
دخلت من T2 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,T2,T2(1)
شفت تخفيضات كبيرة على Mercedes في المعرض هالشهر، وفكرت جديًا إني أستبدل سيارتي.,Mercedes,Mercedes(2)
زميلي طلب ribeye على الفطور وقالي جربه أنت كمان لأنه فعلاً يستاهل التجربة.,ribeye,ribeye(2)
حضرت meeting في فندق فخم استمر يومين كاملين، وتعرفت على ناس كثير من نفس المجال.,meeting,meeting(1)
تواصلت مع الـ client بخصوص تفاصيل العقد الجديد، وحاولت أوضح كل نقطة بالتفصيل.,client,client(1)
الشباب طلبوا donut وكل واحد أخذ نصيبه بسرعة قبل لا يبرد ويفقد طعمه.,donut,donut(2)
زاد وزني في deadlifts بعد شهر تمرين مستمر، وحسيت بفخر واضح من التقدم.,deadlifts,deadlifts(1)
كل صباح أسوي surfing قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,surfing,surfing(2)
حققنا الـ target قبل الموعد بأسبوع كامل، وكانت لحظة فخر للفريق كله.,target,target(1)
حجزت حصة skating جديدة في النادي، وتفاجأت إن مستواي أحسن مما كنت أتوقع.,skating,skating(1)
نزلت آخذ قهوتي من Lagate قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,Lagate,Lagate(1)
سوّيت networking كثير هالسنة عشان أوسع شبكة معارفي، وفعلاً فتحت لي أبواب جديدة.,networking,networking(2)
طلبنا chicken alfredo و croissant وقسمناهم بيننا وشبعنا مرة، وقررنا نرجع نفس المكان قريبًا.,"chicken alfredo, croissant","chicken(1), alfredo(1), croissant(1)"
أختي ما تلبس إلا Uniqlo في كل مناسباتها، وتقول إن القصات تناسبها أكثر من أي ماركة ثانية.,Uniqlo,Uniqlo(2)
طلب مني المدير أحضر meeting بخصوص المشروع الجديد، رغم إني كنت مشغول ذاك اليوم.,meeting,meeting(2)
قعدنا نناقش episode بعد ما خلصناه مباشرة، وكل واحد فينا له رأي مختلف.,episode,episode(2)
لازم أخلص فترة notice period قبل لا أبدأ الشغل الجديد، رغم إني متحمس أبدأ بسرعة.,notice period,"notice(2), period(2)"
أختي ما تلبس إلا Pull&Bear في كل مناسباتها، وتقول إن القصات تناسبها أكثر من أي ماركة ثانية.,Pull&Bear,Pull&Bear(4)
لقيت فرصة internship تناسب وقتي هالفترة، فقررت أقدم عليها بدون تردد.,internship,internship(1)
بدأنا project جديد بيستمر لين آخر الربع، وكل الفريق متحمس له من الأول.,project,project(4)
زاد وزني في lat pulldown بعد شهر تمرين مستمر، وحسيت بفخر واضح من التقدم.,lat pulldown,"lat(2), pulldown(2)"
عندي قطعة من Victoria's Secret بس أفكر أبدلها بواحدة من Uniqlo هالسنة، عشان أجرب شي مختلف شوي.,"Victoria's Secret, Uniqlo","Victoria's(1), Secret(1), Uniqlo(3)"
شفت عرض حلو في Granada وقررت أرجع أشتريه بكرة قبل لا ينتهي العرض.,Granada,Granada(2)
المدرب علمنا حركات جديدة في boxing اليوم، وحسيت إني تحسنت كثير عن الحصة اللي فاتت.,boxing,boxing(1)
نزلت آخذ قهوتي من 66 Cups قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,66 Cups,"66(3), Cups(3)"
أخوي حضر pizza بنفسه في البيت وقالي طلعت زينة رغم إنها أول مرة يجربها.,pizza,pizza(2)
الاجتماع اليوم صار في A3 مو في المبنى المعتاد، وتفاجأت لما وصلت المكان الجديد.,A3,A3(3)
أرسلت email للعميل وانتظرت رده طول اليوم، بس ما جاني رد إلا قبل الدوام.,email,email(2)
قدمت resignation رسمي بعد ما لقيت فرصة أحسن، وحسيت براحة غريبة بعد القرار.,resignation,resignation(2)
شفت عرض حلو في Mall of Arabia وقررت أرجع أشتريه بكرة قبل لا ينتهي العرض.,Mall of Arabia,"Mall(2), of(2), Arabia(2)"
أول ما دخلت الجيم ما كنت أعرف أسوي crunches صح، لين علمني مدربي بالتفصيل.,crunches,crunches(1)
أختي ما تلبس إلا Zara في كل مناسباتها، وتقول إن القصات تناسبها أكثر من أي ماركة ثانية.,Zara,Zara(3)
صاحبتي تشتغل في T5 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,T5,T5(2)
طلبت شنطة Louis Vuitton من الموقع الرسمي وانتظرت أسبوع كامل، بس كانت تستاهل الانتظار.,Louis Vuitton,"Louis(1), Vuitton(1)"
في تخرجي طلبت chocolate lava cake وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,chocolate lava cake,"chocolate(3), lava(2), cake(2)"
بدل lunges صرت أسوي barbell عشان أنوع تمريني، ولاحظت فرق واضح بحماسي للجيم.,"lunges, barbell","lunges(2), barbell(2)"
شفت مدربي يسوي pull downs بطريقة مختلفة عني تمامًا، فسألته يصححلي وضعيتي.,pull downs,"pull(3), downs(3)"
خلصت shoulder press وقعدت أستريح خمس دقايق بس، لأن التمرين كان مكثف أكثر من المعتاد.,shoulder press,"shoulder(1), press(2)"
نزّلت rom-com وبعدها season finale ، قعدة سهر كاملة ما ندمت عليها أبدًا.,"rom-com, season finale","rom-com(3), season(3), finale(3)"
المدرب نصحني أشرب protein shake بعد كل حصة، عشان أساعد عضلاتي تتعافى بسرعة.,protein shake,"protein(1), shake(1)"
بين blockbuster و animation ما قدرت أقرر وش أسوي الليلة، فخليت صاحبي يختار عني.,"blockbuster, animation","blockbuster(3), animation(4)"
قارنت بين H&M و Uniqlo قبل ما أقرر وش أشتري، وأخيرًا حسمت قراري بعد نقاش طويل مع صاحبي.,"H&M, Uniqlo","H&M(2), Uniqlo(4)"
احنا كوّنا فريق handball في الشغل عشان نتحدى فريق ثاني، وصار جو المنافسة يحمسنا كل أسبوع.,handball,handball(1)
أرسلت resume لأكثر من شركة هالأسبوع، وأنتظر أي رد يوصلني.,resume,resume(3)
صاحبي رشح لي Disney+ وقالي ما بتندم أبدًا، وفعلاً كان محق في كلامه.,Disney+,Disney+(4)
غيرت لابتوبي بواحد من Apple وارتحت في الشغل، لأن الأداء صار أسرع بكثير.,Apple,Apple(1)
رحنا مطعم جديد بالحي وجربنا wings لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,wings,wings(1)
استخدمت dumbbells اليوم في الجيم لأول مرة، وحسيت بفرق واضح عن التمارين المعتادة.,dumbbells,dumbbells(1)
احنا سوينا rows مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,rows,rows(3)
أختي معجبة بـ blockbuster وتتابعه أول بأول، وتحاول ما تفوت ولا حلقة.,blockbuster,blockbuster(4)
أخوي حضر milkshake بنفسه في البيت وقالي طلعت زينة رغم إنها أول مرة يجربها.,milkshake,milkshake(1)
أمي سوت chicken alfredo على طريقتها الخاصة وصار ألذ من أي مطعم مشهور جربناه من قبل.,chicken alfredo,"chicken(2), alfredo(2)"
رحنا مطعم جديد بالحي وجربنا donut لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,donut,donut(3)
قابلت صاحباتي في Kingdom Centre وقعدنا نتسوق لين الليل، وكانت جلسة حلوة بعد فترة ما شفناهم.,Kingdom Centre,"Kingdom(2), Centre(2)"
صاحبي رشح لي prequel وقالي ما بتندم أبدًا، وفعلاً كان محق في كلامه.,prequel,prequel(5)
رحنا Granada عشان نتمشى ونشوف العروض الجديدة، وقعدنا هناك لين وقت متأخر من الليل.,Granada,Granada(3)
قدمت على freelance جديدة وأنتظر الرد من الشركة، وقلبي معلق لين يوصلني الإيميل.,freelance,freelance(2)
أختي انضمت لنادي CrossFit قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,CrossFit,CrossFit(3)
طلبنا smoothie و noodles وقسمناهم بيننا وشبعنا مرة، وقررنا نرجع نفس المكان قريبًا.,"smoothie, noodles","smoothie(1), noodles(2)"
صاحبي ما يشتري إلا منتجات Apple من جوال ولابتوب وساعة، ويقول كلها تشتغل مع بعض بسهولة.,Apple,Apple(2)
ما قدرت أختار بين bubble tea و cold brew فطلبت الاثنين، وطلع القرار صح لأني حبيت الكل.,"bubble tea, cold brew","bubble(4), tea(4), cold(1), brew(1)"
كل سبت نروح نلعب badminton مع نفس الشلة، وصارت عادة ما نقدر نفوتها.,badminton,badminton(3)
المطعم الجديد يقدم burrito بطريقة مختلفة عن اللي نعرفه، وصراحة الفكرة عجبتني كثير.,burrito,burrito(1)
كل يوم اثنين أسوي pull downs قبل التمرين الرئيسي، عشان أسخن العضلة صح.,pull downs,"pull(4), downs(4)"
شفت مباراة padel أمس وكانت مثيرة لين آخر دقيقة، وصرخت من الحماس أكثر من مرة.,padel,padel(5)
الشركة عطتنا promotion على الأداء هالربع، وكانت مفاجأة حلوة لكل الفريق.,promotion,promotion(2)
شفت مباراة basketball أمس وكانت مثيرة لين آخر دقيقة، وصرخت من الحماس أكثر من مرة.,basketball,basketball(2)
حدثت حسابي على LinkedIn بعد ما غيرت وظيفتي، وتفاجأت بعدد الردود اللي وصلتني.,LinkedIn,LinkedIn(1)
صاحبي مهووس بمنتجات Nike ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,Nike,Nike(3)
وقفت السيارة عند T4 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,T4,T4(2)
شفت animation الجديد وصدمت من نهايته، وقعدت أفكر فيه لين ثاني يوم.,animation,animation(5)
اشتغلت internship من البيت طول الأسبوع الماضي، وطلعت إنتاجيتي أحسن من المكتب.,internship,internship(2)
حضرت appraisal مع فريق التسويق وطلعت بأفكار زينة، بنشتغل عليها الأسبوع الجاي.,appraisal,appraisal(4)
زوجي اشترى سيارة Honda وقاعد يفتخر فيها قدام الكل، ويغسلها بنفسه كل أسبوع.,Honda,Honda(2)
احتفلنا بتخرجها في مطعم وسط Downtown ، وكانت الأمسية من أحلى الليالي هالسنة.,Downtown,Downtown(2)
نزلت آخذ قهوتي من Starbucks قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,Starbucks,Starbucks(2)
تعبت من crunches بس حسيت بفرق واضح بعدها، ولاحظت تحسن في قوتي العامة.,crunches,crunches(2)
صاحبتي تشتغل في A8 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,A8,A8(3)
أختي رايحة Panorama كل نهاية أسبوع مع صديقاتها، صارت شبه روتين ثابت عندها.,Panorama,Panorama(4)
وقفت السيارة عند Gate G3 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,Gate G3,"Gate(2), G3(1)"
بدل crunches صرت أسوي barbell عشان أنوع تمريني، ولاحظت فرق واضح بحماسي للجيم.,"crunches, barbell","crunches(3), barbell(3)"
أختي معجبة بـ Disney+ وتتابعه أول بأول، وتحاول ما تفوت ولا حلقة.,Disney+,Disney+(5)
شفت عرض حلو في Kingdom Centre وقررت أرجع أشتريه بكرة قبل لا ينتهي العرض.,Kingdom Centre,"Kingdom(3), Centre(3)"
لعبت volleyball الصبح و squash بعد الظهر، يوم رياضي كامل خلاني أنام بدري من التعب.,"volleyball, squash","volleyball(4), squash(2)"
الاجتماع اليوم صار في A5 مو في المبنى المعتاد، وتفاجأت لما وصلت المكان الجديد.,A5,A5(5)
جربت dumbbells جديد في الجيم وعجبني، وصار من التمارين الثابتة عندي كل أسبوع.,dumbbells,dumbbells(2)
صاحبي مهووس بمنتجات Adidas ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,Adidas,Adidas(3)
الاجتماع اليوم صار في Gate G5 مو في المبنى المعتاد، وتفاجأت لما وصلت المكان الجديد.,Gate G5,"Gate(3), G5(2)"
كل صباح أسوي hiking قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,hiking,hiking(3)
اشتريت حذاء New Balance جديد وكان مريح مرة، لدرجة إني نسيت إني لابسه طول اليوم.,New Balance,"New(2), Balance(2)"
أختي رايحة Colours كل نهاية أسبوع مع صديقاتها، صارت شبه روتين ثابت عندها.,Colours,Colours(3)
أخوي حضر cappuccino بنفسه في البيت وقالي طلعت زينة رغم إنها أول مرة يجربها.,cappuccino,cappuccino(2)
عندي قطعة من Nike بس أفكر أبدلها بواحدة من New Balance هالسنة، عشان أجرب شي مختلف شوي.,"Nike, New Balance","Nike(4), New(3), Balance(3)"
حضرت conference مع فريق التسويق وطلعت بأفكار زينة، بنشتغل عليها الأسبوع الجاي.,conference,conference(2)
زوجي اشترى سيارة Lexus وقاعد يفتخر فيها قدام الكل، ويغسلها بنفسه كل أسبوع.,Lexus,Lexus(1)
المدربة نصحتني أزيد shoulder press تدريجيًا كل أسبوع، عشان ما أتعرض لإصابة مفاجئة.,shoulder press,"shoulder(2), press(3)"
احنا سوينا lunges مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,lunges,lunges(3)
المطعم الجديد يقدم club sandwich بطريقة مختلفة عن اللي نعرفه، وصراحة الفكرة عجبتني كثير.,club sandwich,"club(1), sandwich(1)"
صاحبي علمني lat pulldown بطريقة صحيحة تحمي الظهر، وصرت أطبقها في كل حصة.,lat pulldown,"lat(3), pulldown(3)"
طلبت شنطة Gucci من الموقع الرسمي وانتظرت أسبوع كامل، بس كانت تستاهل الانتظار.,Gucci,Gucci(1)
قربنا من الـ deadline وما زال فيه شغل كثير باقي، فقررنا نوزع المهام من جديد.,deadline,deadline(2)
جربت fish&chips في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,fish&chips,fish&chips(1)
رحنا مطعم جديد بالحي وجربنا tiramisu لأول مرة، وصراحة فاق توقعاتي بشكل واضح.,tiramisu,tiramisu(2)
الشباب راحوا Avenues يتفرجون على الفعاليات الجديدة اللي أعلنوا عنها من أسبوع.,Avenues,Avenues(4)
شاركت في بطولة squash وطلعت من الأدوار الأولى، بس استفدت خبرة تفيدني قدام.,squash,squash(3)
المدير طلب نجتمع في كافيه داخل Red Sea Mall بدل المكتب عشان يغير جو الاجتماع شوي.,Red Sea Mall,"Red(1), Sea(1), Mall(3)"
شفت تخفيضات كبيرة على Honda في المعرض هالشهر، وفكرت جديًا إني أستبدل سيارتي.,Honda,Honda(3)
بعد الشغل رحت Panorama أمشي شوي وأصفي ذهني، لأن يومي كان طويل ومتعب.,Panorama,Panorama(5)
احنا قعدنا نتفرج Netflix كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,Netflix,Netflix(2)
رحت Uptown الصبح و First Avenue العصر، يوم تسوق كامل خلاني أتعب بس استمتعت فيه.,"Uptown, First Avenue","Uptown(3), First(2), Avenue(2)"
بعد الدوام مع صاحبي طلبنا affogato وقعدنا نتكلم لين المغرب وما حسينا بالوقت أبدًا.,affogato,affogato(2)
بديت حصتي بـ stretching عشان أسخن جسمي، قبل ما أنتقل للتمارين الأساسية.,stretching,stretching(2)
كل ما أروح ذاك الكافيه أطلب cupcake لأنه مميز عندهم ومختلف عن أي مكان ثاني.,cupcake,cupcake(2)
الـ coach طلب مننا نطلع بأقصى مجهود اليوم، وحمسنا بكلمة قبل ما نبدأ.,coach,coach(1)
اشتغلت part-time من البيت طول الأسبوع الماضي، وطلعت إنتاجيتي أحسن من المكتب.,part-time,part-time(2)
